pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x040e,1,chordAssign,324,7,0,0.9383,0.789681,1.727953
details,0x040e,2,baselinesSysChords,324,5,0,0.9383,0.740603,1.678874
details,0x040e,3,percussionNoteCode,324,8,0,0.9105,0.568633,1.479127
details,0x040f,1,chordAssign,324,7,0,0.9383,0.767405,1.705677
details,0x040f,2,baselinesSysChords,324,5,0,0.9383,0.665685,1.603957
details,0x040f,3,percussionNoteCode,324,8,0,0.9105,0.503334,1.413828
details,0x0410,1,staffSize,324,46,46,0.9969,1.000000,2.996913
details,0x0410,2,dotOffset,324,17,0,0.7747,0.777936,1.552627
details,0x0410,3,beamAltSecDownStem,324,7,0,0.8272,0.500518,1.327679
details,0x0411,1,floats,324,150,150,1.0000,1.000000,3.000000
details,0x0411,2,staffGroup,324,118,35,0.2840,-0.020538,1.263413
details,0x0411,3,smartShapeEntryMark,324,83,9,0.3025,0.314549,1.067019
details,0x0413,1,fretboard,324,158,158,1.0000,1.000000,3.000000
details,0x0413,2,crossChord,324,148,0,0.5123,0.944271,1.456617
details,0x0413,3,baselinesFingerboards,324,145,0,0.5123,0.921474,1.433820
details,0x0414,1,gfhold,324,324,291,0.8981,0.999469,2.897618
details,0x0414,2,beamAltPrimDownStem,324,134,0,0.0000,0.918131,0.918131
details,0x0414,3,smartShapeEntryMark,324,168,0,0.0000,0.897463,0.897463
details,0x0418,1,lyrDataChorus,324,3,3,0.9969,0.864675,2.011589
details,0x0418,2,chordAssign,324,3,0,0.9753,0.230117,1.205425
details,0x0418,3,lyrDataVerse,324,3,0,0.8549,0.151969,1.006907
details,0x041a,1,lyrDataVerse,324,21,20,0.9167,0.477340,2.394007
details,0x041a,2,lyrDataChorus,324,3,0,0.9321,0.283142,1.215241
details,0x041a,3,baselinesSysLyricsVerse,324,7,0,0.8673,0.209113,1.076397
details,0x041b,1,lyricEntryInfo,324,17,17,1.0000,1.000000,2.850000
details,0x041b,2,lyrDataVerse,324,17,0,0.8549,0.422062,1.277000
details,0x041b,3,baselinesSysLyricsVerse,324,12,1,0.8981,0.274688,1.222836
details,0x041c,1,measOssiaAssign,324,4,4,1.0000,1.000000,2.200000
details,0x041c,2,beamExtendUpStem,324,4,0,0.8302,0.774830,1.605077
details,0x041c,3,stemDefDown,324,4,0,0.8580,0.729790,1.587815
details,0x041d,1,measGraphicAssign,324,3,3,1.0000,1.000000,2.150000
details,0x041d,2,measTextAssign,324,3,0,0.9630,0.185744,1.148707
details,0x041d,3,noteAlter,324,3,0,0.7130,0.419340,1.132303
details,0x041e,1,midiExprs,324,3,0,0.9907,0.758841,1.749582
details,0x041e,2,perfData,324,3,0,0.8241,0.881460,1.705534
details,0x041e,3,centerShape,324,3,0,0.3519,-0.028212,0.323640
details,0x041f,1,measNumbIndivPos,324,12,12,1.0000,1.000000,2.600000
details,0x041f,2,entrySize,324,5,0,0.8765,0.379267,1.255810
details,0x041f,3,staffSize,324,7,0,0.8395,0.144947,0.984454
details,0x0420,1,measTextAssign,324,12,11,0.9969,0.996059,2.542972
details,0x0420,2,beamStub,324,5,0,0.9475,0.688261,1.635792
details,0x0420,3,measOssiaAssign,324,4,4,0.9753,0.229233,1.404542
details,0x0421,1,staffGroup,324,235,192,0.8673,0.912323,2.779607
details,0x0421,2,centerShape,324,168,31,0.2407,0.252978,1.493719
details,0x0421,3,baselinesChords,324,234,64,0.1975,0.218517,1.416048
details,0x0422,1,noteAlter,324,93,51,0.8704,0.997448,2.867819
details,0x0422,2,stemDefDown,324,45,6,0.7284,0.785964,1.814359
